物品/地点,类型,等级,备注,X坐标,Y坐标,链接标识
"伊西斯","头目帕鲁","66","Field","-1306","-1620","Sentinel_of_the_Tides_Faleris_Aqua"
"幽恋娜","头目帕鲁","65","Field","-1079","-1455","Crimson_Butcher_Splatterina"
"格鲁力斯","头目帕鲁","64","Field","-1019","-1236","Gold-Armored_Warrior_Warsect_Terra"
"金驰兽","头目帕鲁","63","Field","-940","-1412","Guardian_Beast_of_Twilight_Gildane"
"面惧","头目帕鲁","60","Field","-708","-930","Hundred-Faced_Apostle_Omascul"
"金棘兽","头目帕鲁","62","Field","-1285","-1302","Predator_of_the_Earth_Cryolinx_Terra"
"夜冥驹","头目帕鲁","63","Field","-893","-1293","Midnight_Blue_Mane_Starryon"
"天阴童子","头目帕鲁","60","Field","-1201","-855","Born_of_the_Thunderclouds_Dazzi_Noct"
"幽焰狼","头目帕鲁","65","Field","-847","-1307","Guardian_of_the_Dark_Flame_Kitsun_Noct"
"驭雷马","头目帕鲁","66","Field","-1131","-1668","Blue_Lightning_Steed_Azurmane"
"净世鹿","头目帕鲁","65","Field","-965","-1172","Beast_of_Salvation_Celesdir"
"妮瞅莎","头目帕鲁","60","Field","-920","-917","Night_Shade_Hunter_Nyafia"
"艾基鲁迦","头目帕鲁","62","Field","-985","-1023","Guardian_Dragon_of_Ironclad_Silvegis"
"雷隐鹿","头目帕鲁","60","Field","-858","-1146","Drifting_Thundercloud_Fenglope_Lux"
"霜镰魔","头目帕鲁","66","Field","-1147","-1414","Enraptured_by_the_Frozen_Moonlight_Loupmoon_Cryst"
"雷冠龙","头目帕鲁","47","Field","315","169","Guardian_of_Lightning_Dinossom_Lux"
"朱雀","头目帕鲁","45","Field","326","483","Ruler_of_the_Crimson_Dawn_Suzaku"
"冥铠蝎","头目帕鲁","44","Field","350","537","Unstoppable_Stinger_Menasting"
"重岩龟","头目帕鲁","55","Field","435","380","Sandsea_Monolith_Tetroise"
"圣光骑士","头目帕鲁","60","Field","440","679","Holy_Knight_of_Legend_Paladius"
"流焰龙","头目帕鲁","70","Field","-1126","-1981","Scorched_Wanderer_Moldron"
"磐峰兽","头目帕鲁","50","Field","819","467","Shambling_Vein_Pierdon"
"球抱苞","头目帕鲁","40","Field","433","-711","Prickly_Welcome_Needoll"
"电针妖","头目帕鲁","70","Field","-1314","-612","Thunderboy_Prixter_Lux"
"咒心岩傀","头目帕鲁","70","Field","-1694","-948","Twinhearted_Violet_Construct_Dualith_Noct"
"双心岩傀","头目帕鲁","55","Field","910","-99","Twinhearted_Azure_Construct_Dualith"
"冰帝美露帕","头目帕鲁","46","Field","-385","356","Azure_Fluff_Commander_Kingpaca_Cryst"
"凉晶鲸","头目帕鲁","55","Field","-179","842","Gentle_Ice_Lance_Whalaska"
"唤冬兽","头目帕鲁","60","Field","-357","509","Legendary_Steed_of_Ice_Frostallion"
"百合女王","头目帕鲁","58","Field","-632","302","Empress_of_Lilies_Lyleen"
"金铠蝎","头目帕鲁","55","Field","-582","317","Gold-Piercing_Spear_Menasting_Terra"
"黑月女王","头目帕鲁","58","Field","-628","304","Empress_of_the_Abyss_Lyleen_Noct"
"昭炎狐","头目帕鲁","68","Field","-244","-1520","Self-Serving_Seer_Flaracle"
"灵曦龙","头目帕鲁","69","Field","-489","-1521","Wings_of_Freedom_Eidrolon"
"空涡龙","头目帕鲁","70","Field","-553","-1332","Legendary_Celestial_Dragon_Jetragon"
"雷云鹫","头目帕鲁","67","Field","-308","-1523","Buzzy_Bundle_Dynamoff"
"电懒懒","头目帕鲁","66","Field","-367","-1357","Shockingly_Laid-Back_Slowatt"
"沁莲龙","头目帕鲁","69","Field","-590","-1478","Pure_Bloom_Dragon_Ophydia"
"电涡蜗","头目帕鲁","65","Field","-369","-1414","Sluggish_Blue_Bolt_Snock"
"阿努比斯","头目帕鲁","55","Field","-134","-94","Guardian_of_the_Dark_Sun_Anubis"
"森猛犸","头目帕鲁","38","Field","189","-478","King_of_the_Forest_Mammorest"
"疾旋鼬","头目帕鲁","11","Field","172","-418","Dancer_on_the_Steppe_Chillet"
"云海鹿","头目帕鲁","25","Field","-258","-458","Drifting_Cloud_Fenglope"
"雷角马","头目帕鲁","31","Field","-117","-543","Swift_Deity_Univolt"
"迅雷鸟","头目帕鲁","37","Field","95","23","Wings_of_Thunderbolt_Beakon"
"碧海龙","头目帕鲁","40","Field","-176","-266","Lady_of_the_Lake_Azurobe"
"笑魇猫","头目帕鲁","17","Field","356","-246","Marshmallow_Body_Grintale"
"君王美露帕","头目帕鲁","23","Field","50","-460","Supreme_Fluff_Commander_Kingpaca"
"连理龙","头目帕鲁","23","Field","-222","-669","Winds_of_Spring_Broncherry"
"覆海龙","头目帕鲁","55","Field","350","-85","Emperor_of_the_Sea_Jormuntide"
"精灵龙","头目帕鲁","30","Field","44","-284","Gentle_Sky_Dragon_Elphidran"
"趴趴鲶","头目帕鲁","14","Field","-310","4","Perpetual_Procrastinator_Dumud"
"疾风隼","头目帕鲁","18","Field","-276","-70","Wings_of_the_Firmament_Nitewing"
"桃蛛娘","头目帕鲁","35","Field","-343","-252","Tactician_of_the_Thread_Realm_Tarantriss"
"叶泥泥","头目帕鲁","11","Field","-113","-628","Suddenly_Transformed_Gumoss"
"毛老爹","头目帕鲁","11","Field","-227","-593","King_of_the_Floof_Sweepa"
"雷胖达","头目帕鲁","31","Field","448","-181","Inheritor_of_the_Storm_Mossanda_Lux"
"绿苔绒怪","头目帕鲁","38","Field","449","-51","Guardian_of_the_Grassy_Fields_Wumpo_Botan"
"女皇蜂","头目帕鲁","39","Field","164","-84","Empress_of_the_Hive_Elizabee"
"泰锋","头目帕鲁","55","Field","-585","-250","Suit_of_Armor_Knocklem"
"熔岩兽","头目帕鲁","50","Field","-548","-433","Lava-Devouring_Juggernaut_Reptyro"
"焰煌","头目帕鲁","52","Field","-737","-332","Cursed_Tyrant_Blazamut"
"魔渊龙","头目帕鲁","55","Field","-689","-110","Draconic_Monarch_of_Steel_Astegon"
"暴电熊","头目帕鲁","30","Field","56","-697","Claws_of_Lightning_Grizzbolt"
"唤夜兽","头目帕鲁","65","Field","689","648","Legendary_Steed_of_Darkness_Frostallion_Noct"
"海皇鲸","头目帕鲁","60","Dungeon","139","651","Legend_of_the_Seas_Neptilius"
"踏春兔","头目帕鲁","35","Dungeon","285","10","Gale_of_the_Forest_Verdash"
"企丸王","头目帕鲁","15","Dungeon","114","-352","Pioneer_of_the_Frozen_Sea_Penking"
"郁木羊","头目帕鲁","23","Dungeon","-147","-659","Tainted_Farm_Caprity_Noct"
"魅爱莉","头目帕鲁","60","Dungeon","-923","-1014","Soul_of_the_Dark_Rabbit_Nitemary"
"墨丸","头目帕鲁","60","Dungeon","-879","-1467","Jet-Black_Little_Hero_Smokie"
"焰巫狐","头目帕鲁","28","Dungeon","161","-223","Fire-Licked_Furball_Wixen"
"吹雪狐","头目帕鲁","15","Dungeon","242","-332","Frostbound_Fox_Foxcicle"
"秘斯媞雅","头目帕鲁","35","Dungeon","129","-50","Extraterrestrial_Lunaris"
"绸笠蛾","头目帕鲁","40","Dungeon","252","69","Pallid_Lady_Sibelyx"
"薇莉塔","头目帕鲁","27","Dungeon","-19","-265","Voice_of_the_Violets_Vaelet"
"缀夜星","头目帕鲁","66","Dungeon","-232","-1415","Mantle_of_the_Night_Sky_Wistella"
"浪刃武士","头目帕鲁","25","Dungeon","-203","-346","Vagrant_Warrior_Bushi"
"净岩龟","头目帕鲁","60","Dungeon","-1082","-1320","Sandsea_Wardenstone_Tetroise_Primo"
"狱焰王","头目帕鲁","30","Dungeon","-256","-131","Crimson_Goliath_Blazehowl"
"炽焰牛","头目帕鲁","15","Dungeon","-116","-491","Blazing_Brute_Arsox"
"梅莉姆","头目帕鲁","63","Dungeon","-1355","-968","Indigo_Handmaiden_Prunelia"
"雪绒狐","头目帕鲁","15","Dungeon","-411","-55","Icy_Blossom_Voyager_Foxparks_Cryst"
"承认欲求怪兽 通缉犯 黛姿","NPC","56","","-845","-1281",""
"有借不还惯犯 通缉犯 狄奇","NPC","57","","-1173","-1226",""
"入室强盗 通缉犯 拉姆","NPC","59","","-1237","-1183",""
"面惧","未知","59","","-1237","-1183",""
"货币伪造者 通缉犯 模仿者","NPC","57","","-1193","-1707",""
"偷马贼 通缉犯 比利","NPC","57","","-1080","-904",""
"火麒麟","未知","57","","-1080","-904",""
"古代文明的研究者","NPC","25","","-173","34",""
"安静的沙漠居民","NPC","44","","350","350",""
"天阳乡居民","NPC","73","","-284","-1467",""
"帕鲁商人","黑市商人","12","","78","-480",""
"专杀菜鸟 通缉犯 霍克","NPC","12","","52","-513",""
"赏金猎人猎杀者 通缉犯 逆裳","NPC","15","","-2","-386",""
"劈腿狂魔 通缉犯 赛莲","NPC","16","","-266","-394",""
"偷牛贼 通缉犯 拉索","NPC","21","","-67","-203",""
"波霸牛","未知","21","","-67","-203",""
"自吹自擂 通缉犯 埃戈","NPC","23","","-12","-88",""
"暴力的爱 通缉犯 布里克","NPC","30","","76","96",""
"失误大师 通缉犯 方博","NPC","28","","162","-2",""
"双子爆弹魔 通缉犯 麦特","NPC","26","","349","-2",""
"炸蛋鸟","未知","26","","349","-2",""
"专业碰瓷 通缉犯 克雷斯","NPC","15","","-290","-622",""
"猎狼","未知","15","","-290","-622",""
"黑魔法爱好者 通缉犯 暗影","NPC","41","","-432","-453",""
"菠萝披萨爱好者 通缉犯 阿罗哈","NPC","39","","-592","-235",""
"焰巫狐","未知","39","","-592","-235",""
"纵火狂 通缉犯 芙蕾雅","NPC","38","","-520","-755",""
"团子小偷 通缉犯 妮波","NPC","52","","-524","105",""
"桃旋鼬","未知","52","","-524","105",""
"街头试刀 通缉犯 厄棘","NPC","53","","-674","230",""
"通缉犯情报商","NPC","10","","74","-477",""
"自卫队的通缉专员","NPC","13","","74","-477",""
"通缉犯情报商","NPC","16","","-68","-424",""
"通缉犯情报商","NPC","15","","-15","-370",""
"通缉犯情报商","NPC","35","","148","-209",""
"通缉犯情报商","NPC","44","","346","360",""
"自卫队的通缉专员","NPC","45","","345","361",""
"通缉犯情报商","NPC","34","","-477","-747",""
"自卫队的通缉专员","NPC","39","","-479","-748",""
"通缉犯情报商","NPC","41","","-44","11",""
"通缉犯情报商","NPC","57","","-464","132",""
"通缉犯情报商","NPC","61","","-898","-1015",""
"通缉犯情报商","NPC","62","","-1117","-1388",""
"剧透惯犯 通缉犯 低语","NPC","37","","413","590",""
"职权骚扰惯犯 通缉犯 威普","NPC","40","","320","370",""
"山岳射手","未知","40","","320","370",""
"越狱专家 通缉犯 幻影","NPC","36","","533","133",""
"公众吸烟 通缉犯 达特","NPC","23","","261","-218",""
"炎魔羊","未知","23","","261","-218",""
"赚差价的中间商 通缉犯 斯吉姆","NPC","42","","-91","145",""
"善良的赤脚医生 通缉犯 柯伊尔","NPC","43","","-195","481",""
"绸笠蛾","未知","43","","-195","481",""
"WTM射爆 通缉犯 克林特","NPC","49","","-362","318",""
"示警的自卫队队员","NPC","13","","433","-347",""
"双子爆弹魔 通缉犯 戴拿","NPC","26","","349","-6",""
"炸蛋鸟","未知","26","","349","-6",""
"黑市商人","黑市商人","45","","460","-125",""
"黑鸦隐士","未知","45","","460","-125",""
"霸王餐惯犯 通缉犯 斯科特","NPC","10","","-20","-461",""
"竞技场商人","NPC","46","","631","16",""
"亲切的帕鲁驯养师","NPC","61","","-1048","-1358",""
"净世鹿","未知","61","","-1048","-1358",""
"示警的自卫队队员","NPC","16","","134","-322",""
"示警的自卫队队员","NPC","67","","-1435","-1475",""
"黑市商人","NPC","54","","525","333",""
"雷冥鸟","未知","54","","525","333",""
"流浪的挑战者","NPC","9","","-546","-16",""
"来自沙漠的逃亡者","NPC","11","","547","-115",""
"胆小的遭难者","NPC","8","","425","-346",""
"胆小的岛民","NPC","9","","-58","-604",""
"膝盖中箭的前佣兵","NPC","8","","-108","-711",""
"流浪商人","流浪商人","22","","-188","-601","Village_Shop_1"
"帕鲁商人","黑市商人","14","","-181","-620",""
"帕鲁商人","黑市商人","13","","433","-272",""
"流浪商人","流浪商人","15","","433","-271","Village_Shop_1"
"流浪商人","流浪商人","14","","-397","18","Village_Shop_1"
"帕鲁商人","黑市商人","11","","-396","16",""
"喜欢钓鱼的村民","NPC","26","","-487","-756",""
"爱管闲事的村民","NPC","26","","-477","-753",""
"喜欢星星的村民","NPC","29","","-475","-749",""
"信奉火神的村民","NPC","26","","-474","-749",""
"不正经的自卫队队员","NPC","41","","-479","-746",""
"嗅觉灵敏的自卫队队员","NPC","45","","-484","-750",""
"流浪商人","流浪商人","30","","-477","-748","Volcano_Shop_1"
"帕鲁商人","NPC","27","","-477","-752",""
"黑市商人","黑市商人","43","","41","-403",""
"黑鸦隐士","未知","43","","41","-403",""
"流浪商人","流浪商人","43","","343","362","Desert_Shop_1"
"帕鲁商人","NPC","43","","342","358",""
"炎魔羊","未知","10","","-8","-492",""
"朋克蜥","未知","10","","-5","-492",""
"流浪商人","流浪商人","45","","342","362","Desert_Shop_2"
"流浪商人","流浪商人","28","","-479","-749","Volcano_Shop_2"
"一筹莫展的农民","NPC","11","","85","-485",""
"爱做饭的农民","NPC","16","","12","-447",""
"热心肠的农民","NPC","6","","157","-466",""
"挚爱帕鲁的农民","NPC","18","","100","-364",""
"追寻传说的研究员","NPC","21","","60","-324",""
"古代文明研究会的研究员","NPC","46","","-45","88",""
"迷恋冲浪鸭的研究员","NPC","21","","233","-324",""
"石头控的研究员","NPC","69","","-1396","-1052",""
"竹林居民","NPC","26","","-223","-138",""
"帕鲁培育新手驯养员","NPC","26","","-110","-473",""
"竹林居民","NPC","21","","-220","-135",""
"恐高的驯养员","NPC","46","","284","165",""
"热衷繁殖帕鲁的驯养员","NPC","66","","-1047","-1249",""
"天天爱打猎的猎人","NPC","48","","540","333",""
"天坠的研究者","NPC","64","","-1031","-934",""
"天坠的研究者","NPC","64","","-1023","-930",""
"佐伊","NPC","15","","65","-412",""
"专注大猎物的猎人","NPC","66","","-1245","-1588",""
"身上很好闻的猎人","NPC","28","","173","-126",""
"埋头登顶的流浪者","NPC","51","","-139","464",""
"追寻闪耀的流浪者","NPC","60","","-826","-844",""
"废寝忘食爱冒险的流浪者","NPC","8","","142","-532",""
"乐享慢生活的钓客","NPC","12","","387","-453",""
"想变成瞅什魔的岛民","NPC","26","","21","-230",""
"可靠的自卫队","NPC","26","","80","-486",""
"流浪商人","流浪商人","12","","76","-474","Village_Shop_1"
"傲慢的美食家","NPC","47","","343","367",""
"帕鲁生态调查员","NPC","23","","77","-482",""
"老手帕鲁猎手","NPC","35","","79","-475",""
"聪明的猎人","NPC","36","","-478","-750",""
"老手帕鲁驯养师","NPC","11","","174","-476",""
"天阳乡居民","NPC","75","","-420","-1375",""
"初出茅庐的帕鲁驯养师","NPC","14","","123","-607",""
"爱的传教者","NPC","61","","-787","-1125",""
"爱的传教者","NPC","62","","-1032","-1148",""
"爱的传教者","NPC","42","","-621","-284",""
"爱的传教者","NPC","41","","-707","-636",""
"爱的传教者","NPC","27","","-553","3",""
"爱的传教者","NPC","25","","-280","-168",""
"爱的传教者","NPC","31","","-65","-227",""
"爱的传教者","NPC","27","","41","-98",""
"爱的传教者","NPC","38","","192","-251",""
"爱的传教者","NPC","36","","40","47",""
"爱的传教者","NPC","45","","619","180",""
"爱的传教者","NPC","14","","6","-543",""
"爱的传教者","NPC","9","","59","-438",""
"自大的帕鲁评赏家","NPC","24","","73","-485",""
"自大的帕鲁评赏家","NPC","21","","-68","-424",""
"自大的帕鲁评赏家","NPC","38","","-44","11",""
"自大的帕鲁评赏家","NPC","34","","149","-209",""
"自大的帕鲁评赏家","NPC","63","","-898","-1014",""
"自大的帕鲁评赏家","NPC","31","","71","-245",""
"自大的帕鲁评赏家","NPC","51","","360","340",""
"自大的帕鲁评赏家","NPC","45","","-538","-638",""
"自大的帕鲁评赏家","NPC","54","","-463","132",""
"绝望的采购商","NPC","60","","-672","-942",""
"天坠军的逃兵","NPC","63","","-773","-1071",""
"墨丸","未知","63","","-773","-1071",""
"聪明的地质学家","NPC","61","","-1083","-1287",""
"暗巫猫","未知","61","","-1083","-1287",""
"高兴的矿石研究者","NPC","64","","-1063","-1427",""
"喵丝特","未知","64","","-1063","-1427",""
"先遣队的幸存者","NPC","22","","241","-509",""
"技艺娴熟的岛民","NPC","9","","158","-466",""
"奖章商人","NPC","50","","63","-412",""
"奖章商人","NPC","50","","-454","-12",""
"奖章商人","NPC","50","","401","-273",""
"奖章商人","NPC","50","","-63","-534",""
"可靠的自卫队","NPC","63","","-1034","-938",""
"菲亚","NPC","26","","-665","-743",""
"菲亚","NPC","43","","343","352",""
"菲亚","NPC","71","","-672","137",""
"加德尔","NPC","33","","-665","-743",""
"加德尔","NPC","54","","344","352",""
"火山的运货人","NPC","25","","-539","-673",""
"哈罗德","NPC","70","","-16","-478",""
"怕冷的沙漠居民","NPC","42","","342","361",""
"胆小的沙漠居民","NPC","47","","345","353",""
"温柔的沙漠居民","NPC","44","","342","358",""
"自卫队的基层队员","NPC","49","","347","358",""
"顺从的自卫队队员","NPC","53","","346","358",""
"喜欢篝火的自卫队队员","NPC","53","","359","340",""
"盗猎集团 粉碎者","NPC","40","","296","211",""
"盗猎团员 剑士","NPC","35","","294","211",""
"盗猎集团 善后组","NPC","40","","-477","-539",""
"焰巫狐","未知","40","","-477","-539",""
"欺诈者 通缉犯 姬蒂","NPC","19","","-323","-117",""
"压力面试官 通缉犯 格里尔","NPC","20","","-265","-258",""
"人贩子 通缉犯 威斯克","NPC","45","","-9","292",""
"人类收藏家 通缉犯 卡什","NPC","58","","-1387","-1485",""
"食人鬼 通缉犯 奈尔","NPC","57","","-740","-1003",""
"天阳乡居民","NPC","74","","-338","-1390",""
"黑市商人","黑市商人","47","","-293","-186",""
"月镰魔","未知","47","","-293","-186",""
"看破红尘的岛民","NPC","11","","-353","80",""
"极寒之民","NPC","52","","-100","304",""
"极寒之民","NPC","44","","-100","303",""
"樱花岛居民","NPC","68","","-610","233",""
"樱花岛居民","NPC","60","","-607","236",""
"珍视伙伴的驯养员","NPC","66","","-640","239",""
"正义感十足的猎人","NPC","37","","-359","-494",""
"随风漂泊的流浪者","NPC","59","","-631","226",""
"爱的传教者","NPC","46","","444","317",""
"爱的传教者","NPC","51","","-32","213",""
"爱的传教者","NPC","57","","-668","221",""
"爱的传教者","NPC","58","","-570","266",""
"聚落首领","NPC","20","","76","-476",""
"盗猎集团 精英","NPC","35","","300","213",""
"兔绣袖","聚落","72","","-340","-1389",""
"雷云鹫","聚落","70","","-337","-1394",""
"电汪汪","聚落","71","","-334","-1384",""
"武道蛙","聚落","62","","-609","234",""
"冰丝特","聚落","41","","-100","304",""
"瞅什魔","聚落","64","","-640","239",""
"流沙蛇","聚落","45","","284","165",""
"姬小兔","聚落","62","","-1047","-1249",""
"捣蛋猫","聚落","24","","-110","-473",""
"八云犬","聚落","64","","-608","230",""
"皮皮鸡","聚落","9","","85","-485",""
"遁地鼠","聚落","64","","-1396","-1052",""
"翠叶鼠","聚落","18","","-224","-138",""
"达鼠泥","聚落","19","","-220","-135",""
"啼卡尔","聚落","40","","-45","89",""
"炽巫猫","聚落","62","","-1023","-929",""
"烽歌龙","聚落","61","","-1027","-933",""
"暗巫猫","聚落","61","","-1034","-936",""
"露娜蒂","聚落","48","","-1027","-933",""
"啼卡尔","聚落","19","","61","-324",""
"叶泥泥","聚落","14","","12","-447",""
"皮皮鸡","聚落","5","","157","-466",""
"壶小象","聚落","14","","100","-364",""
"瞅什魔","聚落","21","","21","-230",""
"天擒鸟","聚落","38","","-478","-750",""
"遁地鼠","聚落","26","","-474","-758",""
"暗巫猫","聚落","37","","-477","-746",""
"皮皮鸡","聚落","28","","-482","-751",""
"捣蛋猫","聚落","29","","-482","-751",""
"霹雳犬","聚落","36","","-466","-741",""
"伏特喵","聚落","32","","-468","-742",""
"黑鸦隐士","聚落","32","","-475","-750",""
"瞅什魔","聚落","26","","-483","-753",""
"企丸丸","聚落","28","","-477","-745",""
"朋克蜥","聚落","28","","-469","-746",""
"喵丝特","聚落","25","","-474","-749",""
"霹雳犬","聚落","42","","-485","-750",""
"捣蛋猫","聚落","30","","-478","-751",""
"烽歌龙","聚落","43","","340","363",""
"猎狼","聚落","44","","344","367",""
"焰巫狐","聚落","43","","343","368",""
"捣蛋猫","聚落","41","","344","368",""
"玉藻狐","聚落","40","","342","352",""
"焰巫狐","聚落","48","","342","352",""
"电棘鼠","聚落","41","","341","351",""
"皮皮鸡","聚落","12","","71","-482",""
"叶泥泥","聚落","14","","71","-483",""
"灌木羊","聚落","16","","71","-485",""
"皮皮鸡","聚落","11","","73","-485",""
"新叶猿","聚落","12","","80","-478",""
"捣蛋猫","聚落","13","","78","-470",""
"壶小象","聚落","16","","78","-470",""
"燎火鹿","聚落","16","","76","-477",""
"伏特喵","聚落","14","","76","-474",""
"米露菲","聚落","14","","77","-476",""
"玉藻狐","聚落","16","","72","-478",""
"企丸丸","聚落","10","","79","-479",""
"新叶猿","聚落","14","","75","-476",""
"遁地鼠","聚落","43","","344","350",""
"企丸丸","聚落","26","","-477","-745",""
"融焰娘","聚落","26","","-477","-752",""
"山岳射手","聚落","31","","346","353",""
"喵丝特","聚落","42","","342","357",""
"疾风隼","聚落","45","","340","360",""
"瞅什魔","聚落","9","","78","-481",""
"翠叶鼠","聚落","15","","77","-481",""
"趴趴鲶","聚落","24","","-478","-753",""
"趴趴鲶","聚落","24","","-477","-752",""
"捣蛋猫","聚落","31","","-478","-751",""
"冲浪鸭","聚落","31","","-477","-747",""
"波霸牛","聚落","15","","72","-484",""
"波霸牛","聚落","12","","72","-483",""
"波霸牛","聚落","13","","71","-484",""
"Coal Cluster","石炭矿簇","","","264","-219",""
"Coal Cluster","石炭矿簇","","","101","26",""
"Coal Cluster","石炭矿簇","","","-96","-119",""
"Coal Cluster","石炭矿簇","","","-125","-83",""
"Coal Cluster","石炭矿簇","","","290","242",""
"Coal Cluster","石炭矿簇","","","320","500",""
"Coal Cluster","石炭矿簇","","","591","151",""
"Coal Cluster","石炭矿簇","","","-572","-648",""
"Coal Cluster","石炭矿簇","","","-465","-676",""
"Coal Cluster","石炭矿簇","","","-511","-722",""
"Coal Cluster","石炭矿簇","","","-604","-724",""
"Coal Cluster","石炭矿簇","","","-695","-733",""
"Coal Cluster","石炭矿簇","","","-705","-640",""
"Coal Cluster","石炭矿簇","","","-735","-695",""
"Coal Cluster","石炭矿簇","","","200","-114",""
"Coal Cluster","石炭矿簇","","","236","-214",""
"Coal Cluster","石炭矿簇","","","290","-21",""
"Coal Cluster","石炭矿簇","","","193","-38",""
"Coal Cluster","石炭矿簇","","","155","-67",""
"Coal Cluster","石炭矿簇","","","101","59",""
"Coal Cluster","石炭矿簇","","","266","212",""
"Coal Cluster","石炭矿簇","","","436","432",""
"Coal Cluster","石炭矿簇","","","435","521",""
"Coal Cluster","石炭矿簇","","","334","560",""
"Coal Cluster","石炭矿簇","","","622","311",""
"Coal Cluster","石炭矿簇","","","645","154",""
"Coal Cluster","石炭矿簇","","","515","66",""
"Coal Cluster","石炭矿簇","","","-157","-89",""
"Ore Cluster","金属矿簇","","","-536","-479",""
"Ore Cluster","金属矿簇","","","-418","-606",""
"Ore Cluster","金属矿簇","","","-674","-291",""
"Ore Cluster","金属矿簇","","","-580","-352",""
"Ore Cluster","金属矿簇","","","-636","-496",""
"Ore Cluster","金属矿簇","","","-766","-672",""
"Ore Cluster","金属矿簇","","","-249","-456",""
"Ore Cluster","金属矿簇","","","-256","-358",""
"Ore Cluster","金属矿簇","","","-255","-212",""
"Ore Cluster","金属矿簇","","","-32","-170",""
"Ore Cluster","金属矿簇","","","-77","-317",""
"Ore Cluster","金属矿簇","","","0","-82",""
"Ore Cluster","金属矿簇","","","268","-227",""
"Ore Cluster","金属矿簇","","","187","-40",""
"Ore Cluster","金属矿簇","","","310","-38",""
"Ore Cluster","金属矿簇","","","252","-93",""
"Ore Cluster","金属矿簇","","","91","-263",""
"Ore Cluster","金属矿簇","","","-343","-253",""
"Ore Cluster","金属矿簇","","","-140","417",""
"Ore Cluster","金属矿簇","","","90","-713",""
"Ore Cluster","金属矿簇","","","155","-393",""
"Ore Cluster","金属矿簇","","","71","-404",""
"Ore Cluster","金属矿簇","","","7","-529",""
"Pure Quartz Cluster","纯水晶矿簇","","","206","96",""
"Pure Quartz Cluster","纯水晶矿簇","","","-209","249",""
"Pure Quartz Cluster","纯水晶矿簇","","","-308","542",""
"Pure Quartz Cluster","纯水晶矿簇","","","-253","394",""
"Pure Quartz Cluster","纯水晶矿簇","","","-417","473",""
"Pure Quartz Cluster","纯水晶矿簇","","","-139","581",""
